File,TF-IDF,Proportion Weight
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001104659-18-029831\full-submission.txt,0.3922617804441093,0.22938922390280125
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001104659-18-048736\full-submission.txt,0.19292839532083284,0.13175980189923642
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001104659-18-065076\full-submission.txt,0.2651152411285581,0.42411785840273464
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001104659-19-026018\full-submission.txt,0.37290486477384055,0.9371956232126474
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001104659-19-058323\full-submission.txt,0.8771682126876268,0.8809130972039028
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001104659-20-053384\full-submission.txt,0.34588487014516645,0.3659306055778473
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001104659-20-087850\full-submission.txt,0.19445294433252291,0.847694669078713
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001104659-20-121336\full-submission.txt,0.7307097358954409,0.6805228693907007
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001104659-21-061693\full-submission.txt,0.805455859109657,0.4218144764899838
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001104659-21-100055\full-submission.txt,0.8942296669519352,0.834695281634272
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001104659-21-133629\full-submission.txt,0.6148748841362942,0.8118667430456619
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001104659-22-055285\full-submission.txt,0.81641874027971,0.6469820684011368
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001410578-19-000606\full-submission.txt,0.8618750577273211,0.2871475817108736
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001628280-22-020209\full-submission.txt,0.6521018227264562,0.11345819885274089
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000001800\10-Q\0001628280-22-027550\full-submission.txt,0.31713223701633886,0.7722639021355578
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002488\10-Q\0000002488-18-000068\full-submission.txt,0.39018836461953343,0.8079361338006225
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002488\10-Q\0000002488-18-000128\full-submission.txt,0.9341919816919825,0.9532716352142907
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002488\10-Q\0000002488-18-000189\full-submission.txt,0.45270815458363867,0.19403848200118434
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002488\10-Q\0000002488-19-000045\full-submission.txt,0.7773731167576423,0.7496039365862502
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002488\10-Q\0000002488-19-000104\full-submission.txt,0.10911270210443846,0.08676693689806336
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002488\10-Q\0000002488-19-000159\full-submission.txt,0.8861781999887528,0.4922956546058639
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002488\10-Q\0000002488-20-000051\full-submission.txt,0.9790368912888824,0.33878113156232037
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002488\10-Q\0000002488-20-000103\full-submission.txt,0.21655778895978495,0.197704526824781
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002488\10-Q\0000002488-20-000164\full-submission.txt,0.9776439400093929,0.9232286441811007
C:\Users\max20\Downloads\NLP\sec-edgar-filings\0000002488\10-Q\0000002488-21-000056\full-submission.txt,0.0442737819363066,0.5119775619863118
